"","slide","initalAOI","fixationTime","correctedAOI"
"371","7.bmp",8,0.28006,7
"372","7.bmp",8,0.26195,7
"373","7.bmp",8,0.50851,7
"374","7.bmp",5,0.21487,1
"375","7.bmp",2,0.24672,5
"376","7.bmp",7,0.25835,8
"377","7.bmp",8,0.45993,7
"378","7.bmp",5,0.26259,1
"379","7.bmp",5,0.16461,1
"380","7.bmp",7,0.21344,8
"381","7.bmp",8,0.37779,7
"382","7.bmp",5,0.21346,1
"383","7.bmp",7,0.65631,8
"384","8.bmp",4,0.4438,9
"385","8.bmp",7,0.29659,3
"386","8.bmp",0,0.27899,0
"387","8.bmp",9,0.22964,1
"388","8.bmp",5,0.21384,2
"389","8.bmp",9,0.32896,1
"390","8.bmp",1,0.19716,4
"391","8.bmp",1,0.27917,4
"392","8.bmp",3,0.21346,8
"393","8.bmp",9,0.24805,1
"394","8.bmp",8,0.22975,7
"395","8.bmp",5,0.2139,2
"396","8.bmp",3,0.21367,8
"397","8.bmp",6,0.24597,5
"398","8.bmp",3,0.26268,8
"399","8.bmp",0,0.2469,0
"400","8.bmp",4,0.19733,9
"401","8.bmp",7,0.21353,3
"402","8.bmp",2,0.21327,6
"403","8.bmp",4,0.45956,9
"404","8.bmp",4,0.21408,9
"405","8.bmp",7,0.2617,3
"406","8.bmp",7,0.26251,3
"407","8.bmp",4,0.34692,9
"408","8.bmp",2,0.29559,6
"409","8.bmp",2,0.46288,6
"410","8.bmp",4,0.24744,9
"411","8.bmp",7,0.36116,3
"412","8.bmp",7,0.13206,3
"413","8.bmp",4,0.3288,9
"414","8.bmp",4,0.52562,9
"415","9.bmp",2,0.231,5
"416","9.bmp",2,0.4269,5
"417","9.bmp",0,0.11722,0
"418","9.bmp",7,0.47652,8
"419","9.bmp",4,0.39348,7
"420","9.bmp",4,0.3929,7
"421","9.bmp",2,0.19693,5
"422","9.bmp",1,0.24606,2
"423","9.bmp",0,0.08249,0
"424","9.bmp",5,0.24625,4
"425","9.bmp",3,0.29594,6
"426","9.bmp",2,0.27881,5
"427","9.bmp",5,0.19658,4
"428","9.bmp",8,0.26984,1
"429","9.bmp",9,0.21355,3
"430","9.bmp",4,0.21344,7
"431","9.bmp",5,0.32771,4
"432","9.bmp",6,0.24721,9
"433","9.bmp",5,0.3783,4
"434","9.bmp",4,0.21465,7
"435","9.bmp",7,0.29596,8
"436","9.bmp",4,0.3288,7
"437","9.bmp",1,0.31245,2
"438","9.bmp",2,0.32877,5
"439","9.bmp",1,0.3284,2
"440","9.bmp",5,0.2299,4
"441","9.bmp",6,0.24577,9
"442","9.bmp",5,0.41093,4
"443","9.bmp",6,0.82224,9
"444","9.bmp",5,0.29559,4
"445","10.bmp",4,0.41113,3
"446","10.bmp",0,0.59256,0
"447","10.bmp",5,0.32684,6
"448","10.bmp",6,0.41054,7
"449","10.bmp",4,0.49283,3
"450","10.bmp",5,0.41051,6
"451","10.bmp",0,0.68802,0
"452","10.bmp",4,0.27905,3
"453","10.bmp",2,0.22977,5
"454","10.bmp",4,0.27985,3
"455","10.bmp",5,0.49797,6
"456","10.bmp",4,0.23021,3
"457","10.bmp",5,0.4928,6
"458","11.bmp",2,0.29556,8
"459","11.bmp",8,0.36127,2
"460","11.bmp",0,0.27939,0
"461","11.bmp",1,0.26297,6
"462","11.bmp",6,0.47639,9
"463","11.bmp",8,0.21342,2
"464","11.bmp",7,0.23067,4
"465","11.bmp",4,0.21387,1
"466","11.bmp",2,0.24669,8
"467","11.bmp",3,0.21358,7
"468","11.bmp",2,0.21376,8
"469","11.bmp",6,0.21312,9
"470","11.bmp",5,0.31139,3
"471","11.bmp",1,0.27931,6
"472","11.bmp",9,0.23029,5
"473","11.bmp",8,0.44374,2
"474","11.bmp",6,0.21353,9
"475","11.bmp",3,0.22845,7
"476","11.bmp",9,0.19705,5
"477","11.bmp",8,0.32848,2
"478","11.bmp",4,0.21744,1
"479","11.bmp",2,0.21463,8
"480","11.bmp",3,0.19734,7
"481","11.bmp",4,0.19719,1
"482","11.bmp",8,0.229,2
"483","11.bmp",5,0.36122,3
"484","11.bmp",2,0.21344,8
"485","11.bmp",7,0.22963,4
"486","11.bmp",2,0.21529,8
"487","11.bmp",1,0.24667,6
"488","11.bmp",6,0.21426,9
"489","11.bmp",9,0.21678,5
"490","11.bmp",9,0.47668,5
"491","11.bmp",6,0.26344,9
"492","11.bmp",3,0.214,7
"493","11.bmp",6,0.23122,9
"494","11.bmp",3,0.26462,7
"495","11.bmp",2,0.27927,8
"496","11.bmp",8,0.19702,2
"497","11.bmp",4,0.24661,1
"498","11.bmp",5,0.18001,3
"499","11.bmp",2,0.2466,8
"500","11.bmp",5,0.27905,3
"501","11.bmp",2,0.2283,8
"502","11.bmp",4,0.2634,1
"503","11.bmp",4,0.21338,1
"504","11.bmp",8,0.24826,2
"505","11.bmp",3,0.19708,7
"506","11.bmp",4,0.26085,1
"507","11.bmp",8,0.229,2
"508","11.bmp",4,0.41045,1
"509","11.bmp",0,0.17589,0
"510","11.bmp",4,0.19666,1
"511","11.bmp",4,0.39453,1
"512","11.bmp",8,0.31143,2
"513","11.bmp",4,0.2285,1
"514","11.bmp",4,0.34418,1
"515","11.bmp",3,0.39394,7
"516","11.bmp",0,0.62465,0
"517","11.bmp",8,0.3118,2
"518","11.bmp",2,0.09767,8
"519","11.bmp",1,0.27937,6
"520","11.bmp",0,0.24866,0
"521","11.bmp",2,0.28064,8
"522","11.bmp",3,0.24652,7
"523","11.bmp",0,0.54488,0
"524","11.bmp",0,0.34459,0
"525","11.bmp",0,0.39453,0
"526","11.bmp",2,0.23018,8
"527","11.bmp",4,0.29582,1
"528","11.bmp",9,0.2137,5
"529","11.bmp",6,0.3284,9
"530","11.bmp",1,0.19684,6
"531","11.bmp",2,0.26305,8
"532","11.bmp",7,0.37892,4
"533","11.bmp",0,0.34474,0
"534","11.bmp",0,0.27936,0
"535","11.bmp",5,0.11539,3
"536","11.bmp",9,0.22998,5
"537","11.bmp",7,0.36142,4
"538","11.bmp",2,0.22943,8
"539","11.bmp",3,0.21402,7
"540","11.bmp",6,0.47672,9
"541","11.bmp",8,0.21396,2
"542","11.bmp",0,0.36176,0
"543","11.bmp",0,0.26208,0
"544","11.bmp",0,0.19684,0
"545","11.bmp",6,0.26285,9
"546","11.bmp",9,0.24548,5
