"","slide","initialAOI","fixationTime","correctedAOI","Transition"
"385","4.bmp",5,0.34521,7,"Invalid"
"386","4.bmp",7,0.55847,4,"Surface"
"387","4.bmp",8,0.30951,9,"Invalid"
"388","4.bmp",5,0.24573,7,"Meaningful"
"389","4.bmp",4,0.73929,5,"Invalid"
"390","4.bmp",3,0.39465,1,"Invalid"
"391","4.bmp",5,0.37729,7,"Surface"
"392","4.bmp",2,0.37766,3,"Invalid"
"393","4.bmp",4,0.45871,5,"Invalid"
"394","4.bmp",5,1.15027,7,"Invalid"
"395","4.bmp",6,0.29541,6,"Invalid"
"396","4.bmp",5,0.39606,7,"Invalid"
"397","4.bmp",4,0.57495,5,"Invalid"
"398","4.bmp",7,0.26367,4,"Meaningful"
"399","4.bmp",4,0.52704,5,"Meaningful"
"400","4.bmp",5,0.83835,7,"Invalid"
"401","4.bmp",6,0.55936,6,"Invalid"
"402","4.bmp",3,0.31238,1,"Invalid"
"403","4.bmp",2,0.22968,3,"Meaningful"
"404","4.bmp",1,0.77118,8,"Invalid"
"405","4.bmp",2,3.96521,3,"Invalid"
"406","4.bmp",9,0.52527,2,"Meaningful"
"407","4.bmp",2,0.70059,3,"Meaningful"
"408","4.bmp",3,0.82098,1,"Meaningful"
"409","4.bmp",2,2.81231,3,"Meaningful"
"410","4.bmp",9,0.4104,2,"Meaningful"
"411","4.bmp",8,0.33118,9,"Invalid"
"412","4.bmp",9,0.36172,2,"Invalid"
"413","5.bmp",6,0.49246,3,"Invalid"
"414","5.bmp",8,0.24042,9,"Surface"
"415","5.bmp",5,0.64633,8,"Meaningful"
"416","5.bmp",2,0.26321,7,"Meaningful"
"417","5.bmp",3,0.34558,1,"Surface"
"418","5.bmp",2,0.24722,7,"Surface"
"419","5.bmp",1,0.80954,2,"Invalid"
"420","5.bmp",2,1.65865,7,"Invalid"
"421","5.bmp",3,0.26279,1,"Surface"
"422","5.bmp",6,0.41068,3,"Meaningful"
"423","5.bmp",8,0.25653,9,"Surface"
