,slide,initialAOI,fixationTime,correctedAOI,Transition
254,3.bmp,3,0.27156,7,Surface
255,3.bmp,6,0.36134,1,Surface
256,3.bmp,1,1.06618,2,Meaningful
257,3.bmp,2,0.24643,8,Surface
258,3.bmp,5,0.41051,4,Invalid
259,3.bmp,2,0.52637,8,Invalid
260,3.bmp,1,0.19701,2,Surface
261,3.bmp,4,0.3774,3,Meaningful
262,3.bmp,1,0.24635,2,Meaningful
263,3.bmp,6,0.3118,1,Meaningful
264,3.bmp,5,0.41077,4,Surface
265,3.bmp,6,0.42673,1,Surface
266,3.bmp,9,0.22993,9,Invalid
267,3.bmp,4,0.19717,3,Surface
268,3.bmp,1,0.26323,2,Meaningful
269,3.bmp,4,0.21455,3,Meaningful
270,3.bmp,1,0.22966,2,Meaningful
271,3.bmp,2,0.65704,8,Surface
272,3.bmp,6,0.4559,1,Invalid
273,4.bmp,4,1.33326,8,Invalid
274,4.bmp,7,1.18274,6,Invalid
275,4.bmp,9,0.41019,5,Meaningful
276,4.bmp,6,0.26299,3,Invalid
277,4.bmp,3,0.27899,4,Invalid
278,4.bmp,4,0.83819,8,Invalid
279,4.bmp,2,0.31207,1,Invalid
280,4.bmp,3,0.36554,4,Surface
281,4.bmp,6,0.22977,3,Invalid
282,4.bmp,3,0.27927,4,Invalid
283,4.bmp,5,0.2305,9,Invalid
284,4.bmp,8,0.59075,2,Invalid
285,4.bmp,9,0.49333,5,Surface
286,4.bmp,8,0.87045,2,Surface
287,4.bmp,9,0.09842,5,Surface
288,4.bmp,8,0.57373,2,Surface
289,4.bmp,2,0.19818,1,Meaningful
290,4.bmp,1,0.23024,7,Surface
291,4.bmp,5,0.27898,9,Meaningful
292,4.bmp,6,0.27937,3,Surface
293,4.bmp,8,0.59221,2,Meaningful
294,4.bmp,7,0.23006,6,Invalid
295,4.bmp,1,0.32788,7,Invalid
296,4.bmp,3,0.37796,4,Surface
297,4.bmp,2,0.2478,1,Surface
298,4.bmp,3,0.49266,4,Surface
299,4.bmp,4,0.04926,8,Invalid
300,4.bmp,2,0.37796,1,Invalid
301,4.bmp,4,0.93658,8,Invalid
302,4.bmp,8,0.51134,2,Surface
303,4.bmp,9,0.31203,5,Surface
304,4.bmp,6,0.6241,3,Invalid
305,4.bmp,2,0.49367,1,Meaningful
306,4.bmp,3,1.42972,4,Surface
307,4.bmp,7,0.19708,6,Meaningful
308,4.bmp,5,0.36214,9,Surface
309,4.bmp,8,0.2959,2,Invalid
310,4.bmp,6,1.6425,3,Meaningful
311,4.bmp,4,0.32849,8,Invalid
312,4.bmp,1,0.39427,7,Meaningful
313,4.bmp,2,0.29616,1,Surface
314,4.bmp,5,0.37755,9,Invalid
315,4.bmp,1,0.49249,7,Meaningful
316,4.bmp,5,0.21397,9,Meaningful
317,4.bmp,4,0.21309,8,Meaningful
318,4.bmp,9,0.19661,5,Surface
319,4.bmp,8,0.64206,2,Surface
320,4.bmp,7,0.23027,6,Invalid
